"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","responds with personalized greeting","","2026-01-07","passed","2026-01-07","","E2E GET /hello","",""
"","1","returns personalized greeting when name is a symbol","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","3","should return Hello world when no name header","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","4","should return personalized greeting with special characters","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","0","returns personalized greeting when name is a boolean false","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","1","returns hello world when name is null","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","3","should return ""Hello world!"" when no name header is provided","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","4","returns the hello world message","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","2","should respond to /hello route","","2026-01-07","passed","2026-01-07","","Server startup","",""
"","1","should handle empty name header","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","3","should handle multiple name parameters","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","1","returns personalized greeting when name is provided","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","3","should return personalized greeting","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","3","should return personalized greeting with unicode characters","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","1","should return personalized greeting when name header provided","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","9","should handle multiple requests","","2026-01-07","passed","2026-01-07","","Server startup","",""
"","0","returns personalized greeting when name is a function","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","1","returns personalized greeting when name is a number","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","0","returns personalized greeting when name is an object","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","2","should handle empty name parameter","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","0","returns hello world when name is undefined","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","29","responds with Hello world","","2026-01-07","passed","2026-01-07","","E2E GET /hello","",""
"","5","should return personalized greeting when name is provided","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","2","should return personalized greeting with special characters in header","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","0","should export the app","","2026-01-07","passed","2026-01-07","","Server startup","",""
"","0","returns personalized greeting when name is a boolean true","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","0","returns personalized greeting when name is an array","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","4","responds with personalized greeting when name header provided","","2026-01-07","passed","2026-01-07","","E2E POST /hello","",""
"","2","should return personalized greeting when name header is provided","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","2","should handle multiple name headers","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","22","should return ""Hello world!"" when no name is provided","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","4","should return personalized greeting with unicode characters in header","","2026-01-07","passed","2026-01-07","","POST /hello","",""
"","18","should return Hello world","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","1","should have a listen method","","2026-01-07","passed","2026-01-07","","Server startup","",""
"","0","returns hello world when name is empty string","","2026-01-07","passed","2026-01-07","","getGreeting","",""
"","4","should handle 404 for unknown routes","","2026-01-07","passed","2026-01-07","","GET /hello","",""
"","3","responds with Hello world when no name header","","2026-01-07","passed","2026-01-07","","E2E POST /hello","",""
